,zone_id,road_weight_sum,road_weight_avg,road_count,population,commercial_score,accessibility_score,dump_risk_score,waste_generated
0,0,2.0,2.0,1.0,150,0.8,4.0,3.05,110.11
1,1,12.5,2.5,5.0,750,5.0,5.0,2.74,553.44
2,2,64.5,1.7916666666666667,36.0,5400,25.8,3.58,4.91,3955.42
3,3,27.5,2.5,11.0,1650,11.0,5.0,3.02,1217.56
4,4,52.5,2.1,25.0,3750,21.0,4.2,4.08,2755.69
5,5,37.5,2.2058823529411766,17.0,2550,15.0,4.41,3.6,1875.94
6,6,87.5,2.1341463414634148,41.0,6150,35.0,4.27,4.8,4520.94
7,7,66.5,2.293103448275862,29.0,4350,26.6,4.59,4.07,3203.04
8,8,90.5,1.925531914893617,47.0,7050,36.2,3.85,5.29,5171.26
9,9,19.5,2.4375,8.0,1200,7.8,4.88,2.94,884.92
10,10,88.5,2.2125,40.0,6000,35.4,4.42,4.68,4414.27
11,11,14.5,2.9,5.0,750,5.8,5.8,2.34,555.74
12,12,64.5,1.4659090909090908,44.0,6600,25.8,2.93,5.61,4817.92
13,13,72.5,1.25,58.0,8700,29.0,2.5,6.49,6336.5
14,14,64.5,1.2403846153846154,52.0,7800,25.8,2.48,6.21,5680.42
15,15,86.0,1.7551020408163265,49.0,7350,34.4,3.51,5.56,5381.71
16,16,65.5,1.6375,40.0,6000,26.2,3.28,5.25,4387.82
17,17,64.0,0.8205128205128205,78.0,11700,25.6,1.64,7.86,8482.97
18,18,52.0,0.9285714285714286,56.0,8400,20.8,1.86,6.71,6097.3
19,19,64.0,1.4222222222222223,45.0,6750,25.6,2.84,5.7,4925.16
20,20,50.0,1.1111111111111112,45.0,6750,20.0,2.22,6.01,4909.06
21,21,45.5,0.9891304347826086,46.0,6900,18.2,1.98,6.18,5011.7
22,22,107.0,1.009433962264151,106.0,15900,42.8,2.02,8.99,11551.18
23,23,52.5,1.3125,40.0,6000,21.0,2.62,5.58,4372.88
24,24,59.0,1.6388888888888888,36.0,5400,23.6,3.28,5.06,3949.1
25,25,62.0,1.0689655172413792,58.0,8700,24.8,2.14,6.67,6324.42
26,26,59.0,1.0727272727272728,55.0,8250,23.6,2.15,6.52,5997.54
27,27,60.0,2.0689655172413794,29.0,4350,24.0,4.14,4.3,3195.56
28,28,34.5,0.69,50.0,7500,13.8,1.38,6.67,5430.3
29,29,94.0,2.764705882352941,34.0,5100,37.6,5.53,3.84,3773.72
30,30,31.0,2.066666666666667,15.0,2250,12.4,4.13,3.64,1652.84
31,31,20.0,2.5,8.0,1200,8.0,5.0,2.88,885.5
32,32,75.0,1.5957446808510638,47.0,7050,30.0,3.19,5.62,5153.44
33,33,80.0,1.2903225806451613,62.0,9300,32.0,2.58,6.63,6776.37
34,34,55.0,1.9642857142857142,28.0,4200,22.0,3.93,4.36,3082.0
35,35,52.5,1.640625,32.0,4800,21.0,3.28,4.87,3510.37
36,36,47.5,1.9,25.0,3750,19.0,3.8,4.28,2749.94
37,37,53.0,1.65625,32.0,4800,21.2,3.31,4.85,3510.95
38,38,87.0,1.5818181818181818,55.0,8250,34.8,3.16,6.01,6029.74
39,39,68.5,1.957142857142857,35.0,5250,27.4,3.91,4.7,3852.21
40,40,74.0,1.3962264150943395,53.0,7950,29.6,2.79,6.1,5799.16
41,41,47.0,1.146341463414634,41.0,6150,18.8,2.29,5.79,4474.36
42,42,39.0,2.0526315789473686,19.0,2850,15.6,4.11,3.84,2093.29
43,43,27.0,2.25,12.0,1800,10.8,4.5,3.32,1324.8
44,44,6.0,1.5,4.0,600,2.4,3.0,3.69,438.15
45,45,33.5,1.5952380952380953,21.0,3150,13.4,3.19,4.4,2302.59
46,46,16.0,1.4545454545454546,11.0,1650,6.4,2.91,4.06,1204.34
47,47,6.0,1.2,5.0,750,2.4,2.4,4.04,545.96
48,48,83.0,2.024390243902439,41.0,6150,33.2,4.05,4.91,4515.76
49,49,117.0,2.207547169811321,53.0,7950,46.8,4.42,5.29,5848.61
50,50,22.0,2.0,11.0,1650,8.8,4.0,3.52,1211.24
51,51,89.5,1.9042553191489362,47.0,7050,35.8,3.81,5.31,5170.11
