cell_id,geometry,centroid_lon,centroid_lat,area_ha,road_count,road_density,accessibility_score,has_major_road,has_trunk,commercial_score,zone_type,population,traffic_score,dump_risk_score,waste_base_kg,buildings_est,waste_baseline_kg,waste_heavy_rain_kg,waste_festival_ganesh_kg,waste_worst_case_kg
G000,"POLYGON Z ((77.62672500000001 12.913940999999998 0, 77.62672500000001 12.91059251994497 0, 77.626102 12.911614 0, 77.625144 12.913173 0, 77.62466197987192 12.913940999999998 0, 77.62672500000001 12.913940999999998 0))",77.6260396496906,12.912827043344826,4.13,27,6.54,2.0,0,0,3.82,mixed,154,1.31,7.25,84.6,55,76.9,88.5,98.5,119.4
G001,"POLYGON Z ((77.62672500000001 12.913940999999998 0, 77.62466197987192 12.913940999999998 0, 77.624458 12.914266 0, 77.624245 12.914641 0, 77.624023 12.915024 0, 77.62326 12.916388 0, 77.622772 12.917246 0, 77.62277 12.917249 0, 77.622741 12.917306 0, 77.622739 12.917311 0, 77.622725 12.917337 0, 77.622777 12.917369 0, 77.622812 12.917306 0, 77.62297 12.917356 0, 77.623387 12.917434 0, 77.623656 12.917476 0, 77.62398 12.917537 0, 77.624394 12.917608 0, 77.62458 12.917637 0, 77.624771 12.917653 0, 77.625071 12.917665 0, 77.625364 12.917665 0, 77.625576 12.917654 0, 77.625777 12.917622 0, 77.626084 12.91754 0, 77.62672500000001 12.917333935196947 0, 77.62672500000001 12.913940999999998 0))",77.62513826648761,12.915933531460501,13.363,54,4.04,2.0,0,0,2.82,mixed,504,0.81,7.25,257.6,180,232.4,267.3,297.5,360.9
G002,"POLYGON Z ((77.63072500000001 12.905940999999999 0, 77.63072500000001 12.904092425465809 0, 77.630682 12.904162 0, 77.629762 12.905667 0, 77.6295934511041 12.905940999999999 0, 77.63072500000001 12.905940999999999 0))",77.6303480661826,12.905324644150276,1.257,11,8.75,2.0,0,0,4.7,mixed,45,1.75,7.25,31.8,16,29.6,34.1,38.0,46.0
G003,"POLYGON Z ((77.63072500000001 12.909940999999998 0, 77.63072500000001 12.905940999999999 0, 77.6295934511041 12.905940999999999 0, 77.629372 12.906301 0, 77.629014 12.906884 0, 77.628291 12.908039 0, 77.62756 12.909243 0, 77.62712722815947 12.909940999999998 0, 77.63072500000001 12.909940999999998 0))",77.62943475188428,12.908288467143954,11.377,54,4.75,2.0,0,0,3.1,mixed,428,0.95,7.25,220.4,153,198.8,228.6,254.5,308.6
G004,"POLYGON Z ((77.62672500000001 12.913940999999998 0, 77.63072500000001 12.913940999999998 0, 77.63072500000001 12.909940999999998 0, 77.62712722815947 12.909940999999998 0, 77.626829 12.910422 0, 77.62672500000001 12.91059251994497 0, 77.62672500000001 12.913940999999998 0))",77.62874035862103,12.911955677964585,19.076,105,5.5,2.0,0,0,3.4,mixed,720,1.1,7.25,366.6,257,330.8,380.4,423.4,513.6
G005,"POLYGON Z ((77.63072500000001 12.913940999999998 0, 77.62672500000001 12.913940999999998 0, 77.62672500000001 12.917333935196947 0, 77.626871 12.917287 0, 77.627671 12.917055 0, 77.628166 12.916905 0, 77.628332 12.916861 0, 77.628446 12.916823 0, 77.628529 12.916804 0, 77.628643 12.916794 0, 77.62896 12.916769 0, 77.629956 12.916717 0, 77.63072500000001 12.916676492474915 0, 77.63072500000001 12.913940999999998 0))",77.62865297971418,12.915419262896672,14.153,52,3.67,2.0,0,0,2.67,mixed,535,0.73,7.25,272.7,191,246.1,283.0,315.0,382.1
G006,"POLYGON Z ((77.63072500000001 12.905940999999999 0, 77.63255147735191 12.905940999999999 0, 77.632558 12.905473 0, 77.632468 12.905013 0, 77.632556 12.904387 0, 77.632378 12.904124 0, 77.632334 12.904003 0, 77.632314 12.903938 0, 77.632253 12.903962 0, 77.631962 12.903904 0, 77.631718 12.903725 0, 77.631004 12.903641 0, 77.63072500000001 12.904092425465809 0, 77.63072500000001 12.905940999999999 0))",77.63159924903952,12.904884018043365,4.556,23,5.05,2.0,0,0,3.22,mixed,171,1.01,7.25,91.8,61,83.4,95.9,106.7,129.5
G007,"POLYGON Z ((77.63072500000001 12.905940999999999 0, 77.63072500000001 12.909940999999998 0, 77.63472500000002 12.909940999999998 0, 77.63472500000002 12.907209033557052 0, 77.634669 12.907194 0, 77.633935 12.906983 0, 77.633263 12.906646 0, 77.632594 12.906622 0, 77.632527 12.906622 0, 77.63255 12.906047 0, 77.63255147735191 12.905940999999999 0, 77.63072500000001 12.905940999999999 0))",77.63257556428546,12.908157940655713,16.829,71,4.22,2.0,0,0,2.89,mixed,636,0.84,7.25,323.6,227,292.0,335.8,373.7,453.3
G008,"POLYGON Z ((77.63072500000001 12.909940999999998 0, 77.63072500000001 12.913940999999998 0, 77.63472500000002 12.913940999999998 0, 77.63472500000002 12.909940999999998 0, 77.63072500000001 12.909940999999998 0))",77.63272500000002,12.911940999999997,19.233,107,5.56,2.0,0,0,3.43,mixed,725,1.11,7.25,369.5,259,333.1,383.1,426.4,517.2
G009,"POLYGON Z ((77.63472500000002 12.913940999999998 0, 77.63072500000001 12.913940999999998 0, 77.63072500000001 12.916676492474915 0, 77.631152 12.916654 0, 77.631396 12.916627 0, 77.631929 12.91657 0, 77.632869 12.916476 0, 77.633602 12.916408 0, 77.63472500000002 12.916303361064891 0, 77.63472500000002 12.913940999999998 0))",77.63267443779665,12.915219746363096,12.273,42,3.42,2.0,0,0,2.57,mixed,462,0.68,7.25,236.1,165,213.0,245.0,272.7,330.7
