cell_id,centroid_lon,centroid_lat,area_ha,road_count,road_density,accessibility_score,has_major_road,has_trunk,commercial_score,zone_type,population,traffic_score,dump_risk_score,waste_base_kg,buildings_est
G000,77.6260396496906,12.912827043344826,4.13,27,6.54,2.0,0,0,3.82,mixed,154,1.31,7.25,84.6,55
G001,77.62513826648761,12.915933531460501,13.363,54,4.04,2.0,0,0,2.82,mixed,504,0.81,7.25,257.6,180
G002,77.6303480661826,12.905324644150276,1.257,11,8.75,2.0,0,0,4.7,mixed,45,1.75,7.25,31.8,16
G003,77.62943475188428,12.908288467143954,11.377,54,4.75,2.0,0,0,3.1,mixed,428,0.95,7.25,220.4,153
G004,77.62874035862103,12.911955677964585,19.076,105,5.5,2.0,0,0,3.4,mixed,720,1.1,7.25,366.6,257
G005,77.62865297971418,12.915419262896672,14.153,52,3.67,2.0,0,0,2.67,mixed,535,0.73,7.25,272.7,191
G006,77.63159924903952,12.904884018043365,4.556,23,5.05,2.0,0,0,3.22,mixed,171,1.01,7.25,91.8,61
G007,77.63257556428546,12.908157940655713,16.829,71,4.22,2.0,0,0,2.89,mixed,636,0.84,7.25,323.6,227
G008,77.63272500000002,12.911940999999997,19.233,107,5.56,2.0,0,0,3.43,mixed,725,1.11,7.25,369.5,259
G009,77.63267443779665,12.915219746363096,12.273,42,3.42,2.0,0,0,2.57,mixed,462,0.68,7.25,236.1,165
G010,77.6386320305391,12.905904216096083,0.018,1,10.0,2.0,0,0,5.2,commercial,2,2.0,4.75,11.2,1
G011,77.63688363463805,12.908258998211483,15.872,78,4.91,2.0,0,0,3.17,mixed,599,0.98,7.25,305.9,214
G012,77.63672500000003,12.911940999999997,19.233,111,5.77,2.0,0,0,3.51,mixed,725,1.15,7.25,369.6,259
G013,77.63684309877445,12.91521131149527,11.521,109,9.46,2.0,0,0,4.98,mixed,434,1.89,7.25,227.0,155
G014,77.63854681486052,12.919235369191126,1.213,6,4.95,2.0,0,0,3.18,mixed,45,0.99,7.25,28.8,16
G015,77.64118317618919,12.905681432139225,2.154,10,4.64,2.0,0,0,3.06,mixed,81,0.93,7.25,46.7,29
G016,77.64072500000003,12.907940999999997,19.233,59,3.07,2.0,0,0,2.43,residential,1088,0.61,7.25,548.8,259
G017,77.64072500000003,12.911940999999997,19.233,105,5.46,2.0,0,0,3.38,mixed,725,1.09,7.25,369.4,259
G018,77.64072500000003,12.915940999999998,19.233,93,4.84,2.0,0,0,3.13,mixed,725,0.97,7.25,368.9,259
G019,77.64073766014535,12.919929192397168,19.105,27,1.41,2.0,0,0,1.77,residential,1079,0.28,8.5,543.2,257
G020,77.64106738034772,12.922731543230837,6.439,11,1.71,2.0,0,0,1.88,residential,361,0.34,8.5,184.4,86
G021,77.64495800444261,12.905275012128673,6.154,30,4.87,2.0,0,0,3.15,mixed,232,0.97,7.25,122.5,83
G022,77.64472500000004,12.907940999999997,19.233,69,3.59,2.0,0,0,2.63,mixed,725,0.72,7.25,367.9,259
G023,77.64472500000004,12.911940999999997,19.233,98,5.1,2.0,0,0,3.24,mixed,725,1.02,7.25,369.1,259
G024,77.64472500000004,12.915940999999998,19.233,60,3.12,2.0,0,0,2.45,residential,1088,0.62,7.25,548.8,259
G025,77.64472500000004,12.919940999999996,19.233,75,3.9,2.0,0,0,2.76,mixed,725,0.78,7.25,368.1,259
G026,77.64484703403015,12.923102707741506,11.037,42,3.81,2.0,0,0,2.72,mixed,414,0.76,7.25,212.6,148
G027,77.64971544222637,12.9007249263948,6.199,26,4.19,2.0,0,0,2.88,mixed,232,0.84,7.25,122.0,83
G028,77.6490709539425,12.904243602887544,14.598,52,3.56,2.0,0,0,2.62,mixed,552,0.71,7.25,281.0,197
G029,77.64872500000004,12.907940999999997,19.234,74,3.85,2.0,0,0,2.74,mixed,725,0.77,7.25,368.1,259
G030,77.64872500000004,12.911940999999997,19.233,75,3.9,2.0,0,0,2.76,mixed,725,0.78,7.25,368.1,259
G031,77.64872500000004,12.915940999999998,19.233,40,2.08,2.0,0,0,2.03,residential,1088,0.42,7.25,548.0,259
G032,77.64872500000004,12.919940999999996,19.233,59,3.07,2.0,0,0,2.43,residential,1088,0.61,4.75,548.8,259
G033,77.64871911564994,12.923267041384749,12.739,72,5.65,2.0,0,0,3.46,mixed,479,1.13,4.75,246.3,171
G034,77.6528130071271,12.900066524993994,17.877,62,3.47,2.0,0,0,2.59,mixed,675,0.69,7.25,342.6,241
G035,77.65272500000005,12.903940999999998,19.234,5,0.26,2.0,0,0,1.3,residential,1088,0.05,8.5,546.5,259
G036,77.65272500000005,12.907940999999997,19.234,50,2.6,2.0,0,0,2.24,residential,1088,0.52,7.25,548.4,259
G037,77.65272500000005,12.911940999999997,19.233,66,3.43,2.0,0,0,2.57,mixed,725,0.69,7.25,367.7,259
G038,77.65272500000005,12.915940999999998,19.233,74,3.85,2.0,0,0,2.74,mixed,725,0.77,7.25,368.1,259
G039,77.652575133465,12.91956452069255,15.3,62,4.05,2.0,0,0,2.82,mixed,577,0.81,7.25,294.0,206
G040,77.65116331391164,12.92319244700254,2.511,19,7.57,2.0,0,0,4.23,mixed,92,1.51,4.75,54.7,33
